customer_id,signup_date,age_group,gender,city_tier,device_type,preferred_category,tenure_days,total_orders,avg_order_value,days_since_last_order,return_rate,discount_usage_rate,email_open_rate,app_sessions_month,support_tickets,rating_avg,category_diversity,received_discount_offer,received_loyalty_points,received_free_shipping,churn_score,churned
CUST_00001,2022-04-13,35-44,Male,2,Mobile,Beauty,1469,7,1235.19,59,0.054,0.311,0.1697,4,0,4,2,0,0,0,0.3653,0
CUST_00002,2023-03-12,45-54,Male,2,Mobile,Fashion,1136,17,903.95,11,0.087,0.3006,0.1159,3,1,5,5,0,0,1,0.2165,0
CUST_00003,2022-09-28,45-54,Male,2,Desktop,Electronics,1301,7,3882.92,91,0.1683,0.0398,0.3115,1,0,4,1,0,0,0,0.3371,0
CUST_00004,2022-04-17,18-24,Male,1,Mobile,Fashion,1465,6,1060.37,9,0.1621,0.0726,0.4686,3,0,4,1,0,0,0,0.3656,0
CUST_00005,2022-03-13,25-34,Female,1,Desktop,Grocery,1500,8,3126.82,38,0.1107,0.4505,0.5216,3,0,4,4,0,0,0,0.2739,0
CUST_00006,2023-12-02,45-54,Male,2,Tablet,Grocery,871,5,904.87,105,0.179,0.2103,0.4249,2,0,4,2,1,1,1,0.467,0
CUST_00007,2022-01-21,25-34,Female,1,Mobile,Fashion,1551,9,1420.47,11,0.0048,0.1106,0.1272,3,0,3,6,1,1,0,0.3437,0
CUST_00008,2023-09-07,35-44,Female,3,Mobile,Electronics,957,14,758.31,30,0.2251,0.1711,0.2239,9,0,3,3,0,0,0,0.3386,0
CUST_00009,2022-05-02,25-34,Female,3,Desktop,Sports,1450,3,605.41,53,0.1007,0.174,0.4717,6,1,3,2,0,0,0,0.3737,0
CUST_00010,2023-04-12,35-44,Male,1,Desktop,Sports,1105,6,647.21,72,0.1845,0.3414,0.6342,6,0,1,6,0,0,0,0.3592,0
CUST_00011,2022-08-03,45-54,Female,3,Mobile,Fashion,1357,9,542.81,3,0.269,0.1473,0.1455,3,1,5,5,0,0,0,0.3802,0
CUST_00012,2022-11-27,35-44,Male,3,Mobile,Grocery,1241,5,1644.5,1,0.2766,0.5361,0.2501,3,0,3,2,0,0,0,0.4665,1
CUST_00013,2023-04-04,35-44,Other,2,Desktop,Fashion,1113,9,374.91,110,0.1932,0.0512,0.1834,7,1,5,2,0,0,0,0.4258,0
CUST_00014,2022-03-29,25-34,Female,2,Mobile,Electronics,1484,7,2426.93,29,0.1486,0.0318,0.3125,4,0,2,1,0,0,0,0.3124,0
CUST_00015,2023-01-08,35-44,Male,1,Mobile,Home,1199,8,475.05,48,0.2148,0.1489,0.1228,10,1,3,1,1,1,0,0.3802,1
CUST_00016,2022-04-10,18-24,Female,1,Tablet,Electronics,1472,6,463.76,14,0.1069,0.3652,0.4266,9,0,4,6,0,0,0,0.2767,0
CUST_00017,2023-10-26,25-34,Male,2,Mobile,Electronics,908,2,2606.73,14,0.0681,0.3109,0.1271,5,1,3,2,0,0,0,0.3799,0
CUST_00018,2022-05-11,25-34,Male,2,Mobile,Fashion,1441,10,4987.43,40,0.0638,0.4439,0.4561,7,0,3,4,0,0,0,0.3348,0
CUST_00019,2023-10-24,35-44,Female,1,Mobile,Sports,910,7,4133.21,9,0.0866,0.3456,0.3541,2,0,5,4,0,1,0,0.2788,0
CUST_00020,2022-11-05,35-44,Male,2,Mobile,Beauty,1263,7,1176.77,49,0.1635,0.5147,0.5192,4,0,2,6,0,0,1,0.3403,0
CUST_00021,2022-12-10,25-34,Female,3,Tablet,Grocery,1228,8,976.2,9,0.1192,0.2147,0.1638,3,0,5,4,1,0,0,0.3103,0
CUST_00022,2023-05-07,25-34,Other,2,Mobile,Beauty,1080,9,1157.05,1,0.1017,0.1083,0.1106,2,0,3,3,0,1,0,0.4014,0
CUST_00023,2023-02-18,25-34,Male,2,Desktop,Fashion,1158,10,2310.83,86,0.1568,0.0817,0.4283,7,0,5,3,0,0,0,0.3273,0
CUST_00024,2023-01-21,55+,Male,3,Mobile,Home,1186,8,1053.12,44,0.0655,0.3146,0.1769,6,0,4,4,1,0,0,0.3688,1
CUST_00025,2022-07-11,35-44,Male,2,Mobile,Electronics,1380,4,1068.38,60,0.1768,0.0662,0.2538,1,0,2,4,1,1,0,0.4563,0
CUST_00026,2022-10-04,18-24,Male,1,Desktop,Electronics,1295,7,502.61,38,0.1089,0.2236,0.5294,3,0,4,4,1,1,0,0.3059,0
CUST_00027,2022-06-10,18-24,Male,3,Tablet,Home,1411,7,1703.36,54,0.1921,0.0686,0.1128,4,0,3,5,0,0,0,0.3957,0
CUST_00028,2023-04-05,55+,Female,3,Mobile,Home,1112,6,3512.2,7,0.1427,0.2599,0.5207,2,1,3,3,0,0,0,0.3564,0
CUST_00029,2022-11-10,25-34,Female,1,Mobile,Grocery,1258,9,3328.21,1,0.2654,0.1616,0.1745,5,0,4,1,0,1,0,0.3625,0
CUST_00030,2022-01-22,45-54,Female,2,Mobile,Grocery,1550,8,866.27,72,0.0629,0.4797,0.4547,9,0,5,2,1,0,0,0.2789,0
CUST_00031,2022-09-10,18-24,Male,2,Desktop,Home,1319,3,1372.06,49,0.0552,0.1428,0.0569,3,0,4,3,0,1,0,0.4613,1
CUST_00032,2023-07-15,55+,Female,1,Tablet,Sports,1011,8,1117.73,40,0.0937,0.0373,0.4165,4,1,5,1,1,1,0,0.2886,0
CUST_00033,2023-04-20,45-54,Female,1,Desktop,Sports,1097,13,2226.36,16,0.0868,0.692,0.2833,1,1,4,6,0,0,0,0.2308,0
CUST_00034,2022-02-28,35-44,Male,1,Desktop,Fashion,1513,13,594.57,95,0.2843,0.0635,0.4397,5,0,5,2,1,0,0,0.3405,0
CUST_00035,2023-05-26,18-24,Male,3,Mobile,Sports,1061,3,1971.47,6,0.3289,0.3441,0.0068,2,0,4,3,0,0,0,0.4669,0
CUST_00036,2023-11-13,25-34,Male,1,Mobile,Electronics,890,10,3206.07,52,0.0755,0.2671,0.0519,3,0,3,3,1,1,0,0.304,0
CUST_00037,2023-04-21,25-34,Female,2,Mobile,Grocery,1096,16,1125.2,26,0.1319,0.1873,0.0722,2,0,3,2,1,1,0,0.2203,0
CUST_00038,2023-12-01,35-44,Female,1,Mobile,Fashion,872,7,571.5,146,0.0501,0.1225,0.5496,5,0,4,3,0,0,0,0.4171,1
CUST_00039,2022-07-09,25-34,Female,3,Desktop,Electronics,1382,7,1888.83,25,0.1053,0.2859,0.5172,3,1,3,5,0,1,1,0.3532,0
CUST_00040,2023-11-18,18-24,Female,3,Mobile,Grocery,885,12,6266.76,9,0.2902,0.1071,0.0899,7,0,3,4,0,0,0,0.4324,0
CUST_00041,2023-07-17,35-44,Female,2,Mobile,Electronics,1009,4,3077.76,34,0.4326,0.0802,0.5199,2,0,2,6,0,0,1,0.3952,0
CUST_00042,2023-07-21,35-44,Male,1,Desktop,Electronics,1005,15,821.8,67,0.2537,0.3911,0.5404,5,1,5,5,0,0,0,0.225,0
CUST_00043,2022-09-01,25-34,Female,2,Tablet,Electronics,1328,4,2000.31,45,0.2679,0.1332,0.1102,5,0,4,4,0,1,0,0.4236,0
CUST_00044,2023-05-20,18-24,Female,3,Mobile,Home,1067,2,2003.82,6,0.1765,0.336,0.2548,4,0,5,1,0,0,0,0.487,1
CUST_00045,2022-05-11,55+,Male,2,Mobile,Electronics,1441,5,2201.41,1,0.1838,0.3599,0.1218,3,0,5,2,0,0,0,0.3563,0
CUST_00046,2023-04-30,35-44,Female,2,Mobile,Fashion,1087,6,3407.24,2,0.132,0.2573,0.2446,8,1,4,4,1,0,0,0.2907,0
CUST_00047,2023-10-09,45-54,Male,1,Mobile,Beauty,925,14,1092.15,27,0.027,0.4276,0.1889,3,0,5,1,0,0,0,0.144,0
CUST_00048,2022-01-21,35-44,Male,1,Mobile,Sports,1551,3,1763.88,3,0.1243,0.2892,0.1346,5,1,3,1,0,0,0,0.3331,0
CUST_00049,2022-06-16,18-24,Female,1,Tablet,Grocery,1405,9,1806.75,1,0.1464,0.411,0.1964,9,0,5,3,1,0,0,0.2244,0
CUST_00050,2022-10-01,25-34,Female,3,Desktop,Home,1298,12,245.36,26,0.1256,0.4058,0.2306,4,1,4,4,0,1,1,0.2783,0
CUST_00051,2023-01-23,25-34,Male,2,Desktop,Fashion,1184,8,1906.35,6,0.3557,0.5408,0.1706,2,1,4,4,1,0,0,0.3407,0
CUST_00052,2023-08-24,45-54,Female,2,Mobile,Grocery,971,7,3103.11,10,0.4627,0.1809,0.4031,0,1,4,5,0,0,0,0.3227,0
CUST_00053,2022-11-12,35-44,Female,3,Mobile,Sports,1256,5,7158.07,11,0.2358,0.0503,0.0802,7,0,3,5,1,0,0,0.5426,1
CUST_00054,2022-01-14,25-34,Female,3,Mobile,Beauty,1558,2,4834.39,7,0.108,0.104,0.0526,7,0,3,3,0,0,0,0.4439,1
CUST_00055,2022-08-30,55+,Male,1,Desktop,Fashion,1330,9,1562.58,48,0.1657,0.1605,0.1725,10,0,2,5,0,0,0,0.397,0
CUST_00056,2022-12-12,25-34,Male,1,Mobile,Grocery,1226,5,3235.03,143,0.165,0.4877,0.4517,2,1,3,5,0,1,0,0.506,1
CUST_00057,2023-07-19,55+,Male,3,Mobile,Home,1007,8,2050.7,1,0.045,0.1024,0.4432,5,0,4,1,1,1,0,0.4066,0
CUST_00058,2022-12-06,55+,Male,3,Mobile,Sports,1232,12,3439.95,7,0.1043,0.2469,0.0789,6,0,5,1,0,0,0,0.3001,0
CUST_00059,2022-04-02,25-34,Male,2,Desktop,Electronics,1480,15,1627.98,26,0.1315,0.2845,0.0777,3,0,3,6,1,1,0,0.2277,0
CUST_00060,2023-01-02,25-34,Female,3,Mobile,Electronics,1205,5,1115.76,56,0.1183,0.3914,0.0445,4,0,4,3,0,0,0,0.445,0
CUST_00061,2023-03-31,35-44,Male,1,Mobile,Sports,1117,12,2428.76,3,0.1513,0.3973,0.0186,1,2,5,2,0,0,1,0.3193,0
CUST_00062,2023-03-04,35-44,Male,1,Mobile,Electronics,1144,1,1655.15,64,0.2334,0.2938,0.1739,4,0,1,4,1,0,0,0.5062,1
CUST_00063,2023-05-24,35-44,Male,2,Mobile,Grocery,1063,25,2231.94,33,0.2367,0.5436,0.3324,6,1,3,6,1,0,0,0.2132,0
CUST_00064,2022-02-04,55+,Male,3,Mobile,Electronics,1537,11,1878.4,35,0.0995,0.2725,0.1971,2,0,2,5,1,0,0,0.4398,1
CUST_00065,2022-07-25,35-44,Male,2,Tablet,Electronics,1366,2,4269.49,1,0.1077,0.2382,0.2172,6,0,4,4,0,0,1,0.357,0
CUST_00066,2022-03-22,25-34,Male,2,Mobile,Sports,1491,6,675.06,2,0.1876,0.1461,0.4759,0,1,4,3,0,1,0,0.4783,0
CUST_00067,2023-07-16,18-24,Female,1,Tablet,Beauty,1010,2,311.64,134,0.2345,0.171,0.2818,8,0,5,6,1,0,0,0.4939,0
CUST_00068,2023-01-23,35-44,Male,2,Mobile,Grocery,1184,1,3885.05,55,0.0712,0.4188,0.2756,2,1,5,3,0,0,1,0.4332,0
CUST_00069,2022-01-02,25-34,Female,3,Mobile,Electronics,1570,6,1716.22,63,0.0779,0.6315,0.3387,3,1,4,4,0,0,0,0.4459,0
CUST_00070,2023-01-25,45-54,Female,1,Desktop,Sports,1182,9,3693.49,6,0.1047,0.2508,0.0866,7,1,4,1,1,0,0,0.4036,1
CUST_00071,2023-07-20,25-34,Male,2,Mobile,Fashion,1006,6,585.87,1,0.1141,0.1697,0.2552,2,1,3,3,1,0,0,0.2628,0
CUST_00072,2022-04-16,25-34,Male,3,Mobile,Beauty,1466,11,1133.86,40,0.0353,0.4235,0.1005,2,0,3,5,1,1,0,0.5058,1
CUST_00073,2023-04-22,18-24,Male,2,Desktop,Fashion,1095,11,3079.45,55,0.0242,0.6667,0.2807,7,0,5,1,0,0,1,0.1848,0
CUST_00074,2023-12-04,35-44,Male,3,Mobile,Fashion,869,2,5702.36,104,0.4015,0.1649,0.3058,5,0,4,4,1,0,0,0.4979,1
CUST_00075,2023-02-06,18-24,Male,2,Desktop,Grocery,1170,3,3136.23,8,0.0768,0.1408,0.1369,2,0,3,3,0,0,1,0.5143,1
CUST_00076,2023-12-31,45-54,Female,2,Desktop,Beauty,842,7,1161.11,47,0.038,0.6534,0.2499,4,0,1,6,1,1,0,0.3992,0
CUST_00077,2023-07-10,35-44,Male,1,Mobile,Sports,1016,4,2001.52,4,0.0805,0.5181,0.3817,4,1,2,5,0,0,1,0.3278,0
CUST_00078,2022-06-11,45-54,Other,2,Mobile,Fashion,1410,6,2300.98,44,0.2317,0.2598,0.3126,4,0,3,5,0,0,0,0.3108,0
CUST_00079,2022-07-21,35-44,Male,2,Mobile,Fashion,1370,8,5420.33,43,0.1239,0.1629,0.2731,2,0,3,5,1,0,0,0.396,1
CUST_00080,2022-09-27,18-24,Female,1,Mobile,Electronics,1302,7,1347.21,20,0.1367,0.1659,0.119,18,0,4,6,0,1,0,0.4216,0
CUST_00081,2022-09-28,45-54,Female,3,Mobile,Fashion,1301,3,1263.26,37,0.559,0.3073,0.2425,3,1,2,2,0,0,0,0.5298,1
CUST_00082,2023-04-01,18-24,Male,2,Mobile,Sports,1116,4,1883.99,38,0.2568,0.5,0.2067,4,0,5,5,0,0,0,0.3982,0
CUST_00083,2023-04-07,35-44,Male,1,Mobile,Fashion,1110,9,4793.07,9,0.0309,0.1854,0.1673,6,0,3,2,0,0,0,0.3258,0
CUST_00084,2023-12-28,25-34,Female,1,Mobile,Electronics,845,20,3229.29,42,0.2391,0.2055,0.0492,1,0,5,4,1,0,0,0.2978,0
CUST_00085,2022-09-09,45-54,Female,1,Mobile,Grocery,1320,5,802.32,39,0.1495,0.4309,0.0988,1,1,4,5,0,1,0,0.4227,0
CUST_00086,2023-12-03,55+,Male,2,Mobile,Electronics,870,3,775.99,21,0.0171,0.3219,0.0805,5,0,1,5,0,0,0,0.4871,0
CUST_00087,2022-10-23,35-44,Male,3,Desktop,Sports,1276,9,4770.97,12,0.1481,0.2926,0.3354,0,0,5,2,1,0,0,0.2986,0
CUST_00088,2023-12-26,35-44,Male,2,Mobile,Beauty,847,3,716.28,48,0.1027,0.2101,0.228,5,0,4,6,0,0,0,0.36,0
